epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.174,1.16801,2.53257,1.1195,0.00459,0.83501,0.49233,0.28636,1.20226,3.33613,1.05888,0.00048343,0.00048343,0.00048343
2,558.77,1.11578,1.46686,1.09303,1,0.12197,0.83884,0.49357,1.38448,2.77011,1.22118,0.000964056,0.000964056,0.000964056
3,834.671,1.10917,1.29736,1.09173,0.93637,0.56314,0.86642,0.5093,1.38441,2.31362,1.23411,0.00142488,0.00142488,0.00142488
4,1105.5,1.05211,1.23743,1.06944,0.91476,0.85598,0.9226,0.58273,1.30601,1.26296,1.20668,0.00156798,0.00156798,0.00156798
5,1374.58,1.01652,1.04807,1.04716,0.92669,0.84165,0.89975,0.55913,1.32455,1.17737,1.22923,0.00153497,0.00153497,0.00153497
6,1645.42,1.01201,0.96668,1.03968,0.88166,0.84797,0.89696,0.59033,1.24366,1.14165,1.155,0.00150197,0.00150197,0.00150197
7,1915.9,0.97696,0.93793,1.04178,0.87664,0.83139,0.91004,0.58606,1.25408,1.92508,1.19337,0.00146896,0.00146896,0.00146896
8,2179.36,0.95647,0.86098,1.02037,0.86677,0.90847,0.91623,0.58874,1.25773,1.21084,1.171,0.00143595,0.00143595,0.00143595
9,2447.99,0.96983,0.84042,1.02601,0.83253,0.92022,0.90586,0.55549,1.30134,1.20389,1.21889,0.00140295,0.00140295,0.00140295
10,2717.75,0.95039,0.79141,1.02081,0.91437,0.85927,0.92316,0.5858,1.18499,0.84395,1.13217,0.00136994,0.00136994,0.00136994
11,2987.5,0.94589,0.74967,1.01,0.89953,0.90916,0.937,0.60957,1.21331,0.7773,1.13756,0.00133693,0.00133693,0.00133693
12,3257.46,0.95602,0.71275,1.00317,0.93054,0.90654,0.94013,0.58812,1.35534,0.79391,1.19691,0.00130393,0.00130393,0.00130393
13,3529.04,0.92245,0.69247,1.00887,0.92719,0.90061,0.93702,0.58498,1.31208,0.84012,1.19961,0.00127092,0.00127092,0.00127092
14,3802.11,0.91497,0.64901,0.99802,0.9591,0.89637,0.94103,0.61702,1.21853,0.7318,1.14535,0.00123791,0.00123791,0.00123791
15,4074.39,0.94504,0.66559,1.00263,0.91849,0.89879,0.92455,0.55298,1.37569,0.81885,1.24357,0.00120491,0.00120491,0.00120491
16,4344.59,0.90723,0.64356,0.99728,0.92657,0.90197,0.9444,0.61523,1.28269,0.73082,1.16441,0.0011719,0.0011719,0.0011719
17,4612.22,0.89414,0.62567,0.9958,0.93667,0.90392,0.94045,0.60376,1.28559,0.68809,1.16737,0.00113889,0.00113889,0.00113889
18,4882.84,0.86879,0.59025,0.97574,0.90945,0.92511,0.93828,0.61856,1.20857,0.66105,1.11312,0.00110589,0.00110589,0.00110589
19,5154.69,0.87543,0.60844,0.97869,0.96572,0.9024,0.94963,0.62272,1.25591,0.66734,1.15315,0.00107288,0.00107288,0.00107288
20,5427.83,0.87715,0.60411,0.98121,0.94548,0.89831,0.943,0.60763,1.28085,0.67917,1.1867,0.00103987,0.00103987,0.00103987
21,5697.11,0.83396,0.56934,0.96491,0.88929,0.92129,0.94749,0.60503,1.2742,0.72315,1.17665,0.00100687,0.00100687,0.00100687
22,5969.07,0.84432,0.5609,0.97156,0.94412,0.89904,0.95681,0.62206,1.2472,0.65764,1.15028,0.000973861,0.000973861,0.000973861
23,6237.99,0.8515,0.54147,0.96822,0.96161,0.89515,0.94882,0.59952,1.28396,0.666,1.16535,0.000940855,0.000940855,0.000940855
24,6508.97,0.83919,0.52267,0.96153,0.92281,0.91812,0.9426,0.60971,1.268,0.66247,1.14705,0.000907848,0.000907848,0.000907848
25,6779.13,0.83071,0.54295,0.95811,0.92255,0.92373,0.94407,0.58963,1.27936,0.64504,1.17409,0.000874842,0.000874842,0.000874842
